id,city,city_ja,prefecture,prefecture_ja,lon,lat,spending
yamagata,Yamagata,山形市,Yamagata,山形県,140.3633,38.2404,21695
niigata,Niigata,新潟市,Niigata,新潟県,139.0364,37.9026,16863
sendai,Sendai,仙台市,Miyagi,宮城県,140.8694,38.2682,14207
utsunomiya,Utsunomiya,宇都宮市,Tochigi,栃木県,139.8836,36.5658,13592
toyama,Toyama,富山市,Toyama,富山県,137.2137,36.6953,13507
fukushima,Fukushima,福島市,Fukushima,福島県,140.4747,37.7608,13031
akita,Akita,秋田市,Akita,秋田県,140.1023,39.7186,11919
morioka,Morioka,盛岡市,Iwate,岩手県,141.1527,39.7036,11244
saitama,Saitama,さいたま市,Saitama,埼玉県,139.6489,35.8617,11134
nagano,Nagano,長野市,Nagano,長野県,138.1813,36.6486,10683
kochi,Kochi,高知市,Kochi,高知県,133.5311,33.5597,10544
nagoya,Nagoya,名古屋市,Aichi,愛知県,136.9066,35.1815,10310
chiba,Chiba,千葉市,Chiba,千葉県,140.1233,35.6074,10098
mito,Mito,水戸市,Ibaraki,茨城県,140.4468,36.3418,10094
kawasaki,Kawasaki,川崎市,Kanagawa,神奈川県,139.7172,35.5308,9986
kanazawa,Kanazawa,金沢市,Ishikawa,石川県,136.6256,36.5944,9974
shizuoka,Shizuoka,静岡市,Shizuoka,静岡県,138.3831,34.9769,9932
maebashi,Maebashi,前橋市,Gunma,群馬県,139.0608,36.3895,9835
aomori,Aomori,青森市,Aomori,青森県,140.7400,40.8244,9757
tokyo,Tokyo,東京都区部,Tokyo,東京都,139.6917,35.6895,9364
fukui,Fukui,福井市,Fukui,福井県,136.2219,36.0652,9153
sagamihara,Sagamihara,相模原市,Kanagawa,神奈川県,139.3723,35.5533,8719
gifu,Gifu,岐阜市,Gifu,岐阜県,136.7223,35.4232,8512
otsu,Otsu,大津市,Shiga,滋賀県,135.8686,35.0045,8453
yokohama,Yokohama,横浜市,Kanagawa,神奈川県,139.6380,35.4437,8335
matsue,Matsue,松江市,Shimane,島根県,133.0505,35.4723,8332
oita,Oita,大分市,Oita,大分県,131.6126,33.2382,8250
okayama,Okayama,岡山市,Okayama,岡山県,133.9350,34.6617,8174
hamamatsu,Hamamatsu,浜松市,Shizuoka,静岡県,137.7269,34.7108,8072
saga,Saga,佐賀市,Saga,佐賀県,130.2988,33.2494,7946
hiroshima,Hiroshima,広島市,Hiroshima,広島県,132.4596,34.3853,7941
nara,Nara,奈良市,Nara,奈良県,135.8328,34.6851,7932
miyazaki,Miyazaki,宮崎市,Miyazaki,宮崎県,131.4239,31.9077,7860
kofu,Kofu,甲府市,Yamanashi,山梨県,138.5684,35.6635,7853
sakai,Sakai,堺市,Osaka,大阪府,135.4830,34.5733,7753
kyoto,Kyoto,京都市,Kyoto,京都府,135.7681,35.0116,7698
sapporo,Sapporo,札幌市,Hokkaido,北海道,141.3544,43.0621,7627
fukuoka,Fukuoka,福岡市,Fukuoka,福岡県,130.4017,33.5902,7604
takamatsu,Takamatsu,高松市,Kagawa,香川県,134.0434,34.3401,7572
kagoshima,Kagoshima,鹿児島市,Kagoshima,鹿児島県,130.5571,31.5602,7456
osaka,Osaka,大阪市,Osaka,大阪府,135.5023,34.6937,7408
kumamoto,Kumamoto,熊本市,Kumamoto,熊本県,130.7418,32.7898,7303
tsu,Tsu,津市,Mie,三重県,136.5086,34.7303,6940
tottori,Tottori,鳥取市,Tottori,鳥取県,134.2383,35.5011,6701
tokushima,Tokushima,徳島市,Tokushima,徳島県,134.5594,34.0658,6551
naha,Naha,那覇市,Okinawa,沖縄県,127.6792,26.2124,6290
kitakyushu,Kitakyushu,北九州市,Fukuoka,福岡県,130.8752,33.8834,6288
wakayama,Wakayama,和歌山市,Wakayama,和歌山県,135.1675,34.2260,6005
yamaguchi,Yamaguchi,山口市,Yamaguchi,山口県,131.4714,34.1861,5839
matsuyama,Matsuyama,松山市,Ehime,愛媛県,132.7657,33.8416,5501
nagasaki,Nagasaki,長崎市,Nagasaki,長崎県,129.8737,32.7503,4821
kobe,Kobe,神戸市,Hyogo,兵庫県,135.1955,34.6901,4810
